sytuacja_teraz;sytuacja_wstecz;czynsz_teraz;czynsz_wstecz;ocena_teraz;ocena_wstecz
Wynajmuję lokal z jedną osobą;Wynajmowałem/am lokal z dwiema osobami;od 1500zł do 2000zł;od 1000zł do 1500zł;Bardzo dobrze;Bardzo dobrze
Wynajmuję lokal z jedną osobą;Wynajmowałem/am lokal z jedną osobą;od 0 do 500zł;od 0 do 500zł;Dobrze;Dobrze
Wynajmuję lokal z jedną osobą;Wynajmowałem/am lokal sam;od 500zł do 1000zł;od 1000zł do 1500zł;Dobrze;Dobrze
Wynajmuję lokal z czterema lub więcej osobami;Wynajmowałem/am lokal z czterema lub więcej osobami;od 500zł do 1000zł;od 500zł do 1000zł;Ani dobrze, ani źle;Dobrze
Wynajmuję lokal z dwiema osobami;Wynajmowałem/am lokal z czterema lub więcej osobami;od 1000zł do 1500zł;od 500zł do 1000zł;Dobrze;Ani dobrze, ani źle
Wynajmuję lokal z dwiema osobami;Wynajmowałem/am lokal sam;od 1500zł do 2000zł;od 2000 do 2500zł;Ani dobrze, ani źle;Ani dobrze, ani źle
Wynajmuję lokal z czterema lub więcej osobami;Wynajmowałem/am lokal z jedną osobą;od 1000zł do 1500zł;od 1000zł do 1500zł;Dobrze;Źle
Wynajmuję lokal sam;Wynajmowałem/am lokal z czterema lub więcej osobami;od 2000 do 2500zł;od 500zł do 1000zł;Bardzo dobrze;Źle
Wynajmuję lokal z jedną osobą;Wynajmowałem/am lokal z jedną osobą;od 1500zł do 2000zł;od 1000zł do 1500zł;Ani dobrze, ani źle;Dobrze
Mieszkam w akademiku;Mieszkałem/am w akademiku;od 500zł do 1000zł;od 500zł do 1000zł;Źle;Źle
Wynajmuję lokal sam;Wynajmowałem/am lokal z dwiema osobami;2500zł lub więcej;od 1500zł do 2000zł;Dobrze;Źle
Wynajmuję lokal z dwiema osobami;Wynajmowałem/am lokal z dwiema osobami;od 500zł do 1000zł;od 500zł do 1000zł;Ani dobrze, ani źle;Ani dobrze, ani źle
Wynajmuję lokal z czterema lub więcej osobami;Wynajmowałem/am lokal z trzema osobami;od 1000zł do 1500zł;od 1000zł do 1500zł;Bardzo źle;Źle
Wynajmuję lokal z jedną osobą;Wynajmowałem/am lokal z jedną osobą;od 1000zł do 1500zł;od 1000zł do 1500zł;Dobrze;Ani dobrze, ani źle
Wynajmuję lokal z trzema osobami;Wynajmowałem/am lokal z dwiema osobami;od 1000zł do 1500zł;od 500zł do 1000zł;Dobrze;Bardzo dobrze
Mieszkam w akademiku;Mieszkałem/am w akademiku;od 500zł do 1000zł;od 0 do 500zł;Bardzo dobrze;Źle
Wynajmuję lokal z jedną osobą;Wynajmowałem/am lokal z czterema lub więcej osobami;od 1000zł do 1500zł;od 1000zł do 1500zł;Bardzo dobrze;Dobrze
Mieszkam w akademiku;Mieszkałem/am w akademiku;od 500zł do 1000zł;od 0 do 500zł;Dobrze;Dobrze
Wynajmuję lokal z jedną osobą;Wynajmowałem/am lokal z jedną osobą;od 1000zł do 1500zł;od 1000zł do 1500zł;Dobrze;Dobrze
Wynajmuję lokal z trzema osobami;Wynajmowałem/am lokal z trzema osobami;od 500zł do 1000zł;od 500zł do 1000zł;Dobrze;Dobrze
Wynajmuję lokal z dwiema osobami;Wynajmowałem/am lokal z dwiema osobami;od 1000zł do 1500zł;od 1000zł do 1500zł;Dobrze;Dobrze
Wynajmuję lokal z czterema lub więcej osobami;Wynajmowałem/am lokal z czterema lub więcej osobami;od 500zł do 1000zł;od 500zł do 1000zł;Dobrze;Bardzo źle
Wynajmuję lokal z jedną osobą;Wynajmowałem/am lokal z jedną osobą;od 1000zł do 1500zł;od 1000zł do 1500zł;Bardzo dobrze;Bardzo dobrze
Wynajmuję lokal z jedną osobą;Wynajmowałem/am lokal z jedną osobą;od 500zł do 1000zł;od 500zł do 1000zł;Bardzo dobrze;Bardzo dobrze
Wynajmuję lokal z jedną osobą;Wynajmowałem/am lokal z dwiema osobami;od 1500zł do 2000zł;od 1000zł do 1500zł;Dobrze;Dobrze
Wynajmuję lokal z jedną osobą;Wynajmowałem/am lokal z jedną osobą;od 500zł do 1000zł;od 500zł do 1000zł;Dobrze;Dobrze
Wynajmuję lokal sam;Wynajmowałem/am lokal sam;od 1500zł do 2000zł;od 1000zł do 1500zł;Bardzo dobrze;Bardzo dobrze
Mieszkam w akademiku;Mieszkałem/am w akademiku;od 500zł do 1000zł;od 0 do 500zł;Dobrze;Dobrze
Wynajmuję lokal z jedną osobą;Wynajmowałem/am lokal z jedną osobą;od 1500zł do 2000zł;od 1500zł do 2000zł;Ani dobrze, ani źle;Źle
Wynajmuję lokal sam;Wynajmowałem/am lokal sam;od 1500zł do 2000zł;od 1000zł do 1500zł;Dobrze;Dobrze
Wynajmuję lokal z jedną osobą;Wynajmowałem/am lokal z jedną osobą;od 1000zł do 1500zł;od 1000zł do 1500zł;Dobrze;Bardzo dobrze
Wynajmuję lokal sam;Wynajmowałem/am lokal z jedną osobą;od 1000zł do 1500zł;od 1500zł do 2000zł;Dobrze;Dobrze
Wynajmuję lokal z dwiema osobami;Wynajmowałem/am lokal z dwiema osobami;od 1000zł do 1500zł;od 500zł do 1000zł;Bardzo dobrze;Bardzo dobrze
Wynajmuję lokal z dwiema osobami;Wynajmowałem/am lokal z dwiema osobami;od 1000zł do 1500zł;od 500zł do 1000zł;Ani dobrze, ani źle;Ani dobrze, ani źle
Wynajmuję lokal z jedną osobą;Mieszkałem/am w akademiku;od 500zł do 1000zł;od 500zł do 1000zł;Dobrze;Źle
Wynajmuję lokal sam;Wynajmowałem/am lokal sam;2500zł lub więcej;od 2000 do 2500zł;Źle;Źle
Wynajmuję lokal sam;Wynajmowałem/am lokal sam;od 2000 do 2500zł;od 2000 do 2500zł;Dobrze;Dobrze
Wynajmuję lokal z dwiema osobami;Wynajmowałem/am lokal z dwiema osobami;od 1000zł do 1500zł;od 1000zł do 1500zł;Bardzo dobrze;Bardzo dobrze
Wynajmuję lokal z trzema osobami;Wynajmowałem/am lokal z trzema osobami;od 1000zł do 1500zł;od 1000zł do 1500zł;Źle;Źle
Wynajmuję lokal z dwiema osobami;Wynajmowałem/am lokal z dwiema osobami;od 1000zł do 1500zł;od 1000zł do 1500zł;Dobrze;Dobrze
Wynajmuję lokal z dwiema osobami;Wynajmowałem/am lokal z dwiema osobami;od 1000zł do 1500zł;od 1000zł do 1500zł;Dobrze;Źle
Wynajmuję lokal z czterema lub więcej osobami;Wynajmowałem/am lokal z czterema lub więcej osobami;od 500zł do 1000zł;od 500zł do 1000zł;Ani dobrze, ani źle;Dobrze
Wynajmuję lokal z jedną osobą;Wynajmowałem/am lokal z dwiema osobami;od 500zł do 1000zł;od 500zł do 1000zł;Bardzo dobrze;Bardzo dobrze
Wynajmuję lokal z jedną osobą;Wynajmowałem/am lokal z dwiema osobami;od 1000zł do 1500zł;od 1000zł do 1500zł;Ani dobrze, ani źle;Dobrze
Wynajmuję lokal z jedną osobą;Wynajmowałem/am lokal sam;od 1500zł do 2000zł;od 2000 do 2500zł;Bardzo dobrze;Źle
Wynajmuję lokal z dwiema osobami;Wynajmowałem/am lokal z dwiema osobami;od 1000zł do 1500zł;od 1000zł do 1500zł;Dobrze;Bardzo dobrze
Wynajmuję lokal z dwiema osobami;Wynajmowałem/am lokal z dwiema osobami;od 1000zł do 1500zł;od 500zł do 1000zł;Dobrze;Ani dobrze, ani źle
Wynajmuję lokal z jedną osobą;Wynajmowałem/am lokal sam;od 1000zł do 1500zł;od 2000 do 2500zł;Dobrze;Bardzo dobrze
Wynajmuję lokal sam;Wynajmowałem/am lokal sam;od 1000zł do 1500zł;od 500zł do 1000zł;Bardzo dobrze;Dobrze
Wynajmuję lokal z jedną osobą;Wynajmowałem/am lokal z trzema osobami;od 1000zł do 1500zł;od 1000zł do 1500zł;Bardzo dobrze;Dobrze
Wynajmuję lokal z jedną osobą;Wynajmowałem/am lokal sam;od 1000zł do 1500zł;od 500zł do 1000zł;Dobrze;Dobrze
Wynajmuję lokal z czterema lub więcej osobami;Wynajmowałem/am lokal z czterema lub więcej osobami;od 500zł do 1000zł;od 500zł do 1000zł;Ani dobrze, ani źle;Ani dobrze, ani źle
Wynajmuję lokal z jedną osobą;Wynajmowałem/am lokal sam;od 1000zł do 1500zł;od 1000zł do 1500zł;Bardzo dobrze;Bardzo dobrze
Wynajmuję lokal z dwiema osobami;Wynajmowałem/am lokal z jedną osobą;od 2000 do 2500zł;od 1000zł do 1500zł;Dobrze;Dobrze
Wynajmuję lokal z jedną osobą;Wynajmowałem/am lokal z dwiema osobami;od 1500zł do 2000zł;od 1000zł do 1500zł;Bardzo dobrze;Bardzo dobrze
Wynajmuję lokal z dwiema osobami;Wynajmowałem/am lokal z dwiema osobami;od 1500zł do 2000zł;od 1000zł do 1500zł;Bardzo dobrze;Dobrze
Wynajmuję lokal z dwiema osobami;Wynajmowałem/am lokal z dwiema osobami;od 1000zł do 1500zł;od 1000zł do 1500zł;Dobrze;Dobrze
Wynajmuję lokal z trzema osobami;Wynajmowałem/am lokal z jedną osobą;od 1000zł do 1500zł;od 1000zł do 1500zł;Ani dobrze, ani źle;Dobrze
Wynajmuję lokal z czterema lub więcej osobami;Wynajmowałem/am lokal z dwiema osobami;od 500zł do 1000zł;od 500zł do 1000zł;Ani dobrze, ani źle;Dobrze
Wynajmuję lokal z dwiema osobami;Wynajmowałem/am lokal z dwiema osobami;od 500zł do 1000zł;od 500zł do 1000zł;Dobrze;Bardzo dobrze
Wynajmuję lokal z jedną osobą;Wynajmowałem/am lokal z jedną osobą;od 1000zł do 1500zł;od 1000zł do 1500zł;Dobrze;Dobrze
Wynajmuję lokal z jedną osobą;Wynajmowałem/am lokal z jedną osobą;od 1000zł do 1500zł;od 1000zł do 1500zł;Ani dobrze, ani źle;Dobrze
Wynajmuję lokal z jedną osobą;Wynajmowałem/am lokal z dwiema osobami;od 1000zł do 1500zł;od 1000zł do 1500zł;Dobrze;Dobrze
Wynajmuję lokal z jedną osobą;Wynajmowałem/am lokal z dwiema osobami;od 1500zł do 2000zł;od 1000zł do 1500zł;Bardzo dobrze;Bardzo dobrze
Wynajmuję lokal z jedną osobą;Wynajmowałem/am lokal z jedną osobą;od 1500zł do 2000zł;od 1000zł do 1500zł;Ani dobrze, ani źle;Dobrze
Wynajmuję lokal z jedną osobą;Wynajmowałem/am lokal z dwiema osobami;od 500zł do 1000zł;od 1000zł do 1500zł;Bardzo dobrze;Dobrze
Wynajmuję lokal z jedną osobą;Wynajmowałem/am lokal z jedną osobą;od 1000zł do 1500zł;od 1000zł do 1500zł;Bardzo dobrze;Bardzo dobrze
Wynajmuję lokal sam;Wynajmowałem/am lokal sam;2500zł lub więcej;2500zł lub więcej;Bardzo dobrze;Bardzo dobrze
Mieszkam w akademiku;Mieszkałem/am w akademiku;od 500zł do 1000zł;od 500zł do 1000zł;Źle;Źle
Wynajmuję lokal z jedną osobą;Wynajmowałem/am lokal z czterema lub więcej osobami;od 1500zł do 2000zł;od 500zł do 1000zł;Ani dobrze, ani źle;Ani dobrze, ani źle
Wynajmuję lokal z jedną osobą;Wynajmowałem/am lokal z jedną osobą;od 2000 do 2500zł;od 1500zł do 2000zł;Ani dobrze, ani źle;Ani dobrze, ani źle
Wynajmuję lokal z jedną osobą;Wynajmowałem/am lokal z jedną osobą;od 1500zł do 2000zł;od 1000zł do 1500zł;Źle;Ani dobrze, ani źle
Wynajmuję lokal z dwiema osobami;Wynajmowałem/am lokal z dwiema osobami;od 1500zł do 2000zł;od 1000zł do 1500zł;Źle;Ani dobrze, ani źle
Wynajmuję lokal sam;Wynajmowałem/am lokal sam;od 1500zł do 2000zł;od 1500zł do 2000zł;Źle;Źle
Mieszkam w akademiku;Mieszkałem/am w akademiku;od 1000zł do 1500zł;od 500zł do 1000zł;Ani dobrze, ani źle;Dobrze
Wynajmuję lokal z jedną osobą;Wynajmowałem/am lokal z jedną osobą;2500zł lub więcej;2500zł lub więcej;Ani dobrze, ani źle;Ani dobrze, ani źle
Mieszkam w akademiku;Mieszkałem/am w akademiku;od 1500zł do 2000zł;od 1500zł do 2000zł;Ani dobrze, ani źle;Ani dobrze, ani źle
Wynajmuję lokal sam;Wynajmowałem/am lokal sam;od 2000 do 2500zł;od 1500zł do 2000zł;Źle;Dobrze
Wynajmuję lokal z czterema lub więcej osobami;Wynajmowałem/am lokal z dwiema osobami;od 1500zł do 2000zł;od 500zł do 1000zł;Ani dobrze, ani źle;Dobrze
Wynajmuję lokal sam;Wynajmowałem/am lokal z jedną osobą;od 2000 do 2500zł;od 1500zł do 2000zł;Bardzo dobrze;Bardzo dobrze
Mieszkam w akademiku;Mieszkałem/am w akademiku;od 500zł do 1000zł;od 0 do 500zł;Źle;Źle
Wynajmuję lokal z jedną osobą;Wynajmowałem/am lokal z jedną osobą;2500zł lub więcej;od 2000 do 2500zł;Ani dobrze, ani źle;Dobrze
Wynajmuję lokal z dwiema osobami;Wynajmowałem/am lokal z dwiema osobami;od 1500zł do 2000zł;od 1000zł do 1500zł;Dobrze;Dobrze
Wynajmuję lokal sam;Wynajmowałem/am lokal sam;od 1500zł do 2000zł;od 1000zł do 1500zł;Źle;Źle
Wynajmuję lokal z jedną osobą;Wynajmowałem/am lokal z dwiema osobami;od 1500zł do 2000zł;od 1000zł do 1500zł;Bardzo dobrze;Dobrze
Wynajmuję lokal z jedną osobą;Wynajmowałem/am lokal z jedną osobą;od 1500zł do 2000zł;od 1500zł do 2000zł;Dobrze;Dobrze
Wynajmuję lokal z dwiema osobami;Wynajmowałem/am lokal z dwiema osobami;od 1500zł do 2000zł;od 1000zł do 1500zł;Dobrze;Dobrze
Wynajmuję lokal z jedną osobą;Wynajmowałem/am lokal z jedną osobą;od 1000zł do 1500zł;od 1500zł do 2000zł;Dobrze;Dobrze
Wynajmuję lokal z dwiema osobami;Wynajmowałem/am lokal z dwiema osobami;od 1000zł do 1500zł;od 1000zł do 1500zł;Ani dobrze, ani źle;Ani dobrze, ani źle
Wynajmuję lokal z trzema osobami;Wynajmowałem/am lokal z trzema osobami;od 1000zł do 1500zł;od 1000zł do 1500zł;Ani dobrze, ani źle;Dobrze
Wynajmuję lokal z trzema osobami;Wynajmowałem/am lokal z trzema osobami;od 1000zł do 1500zł;od 1000zł do 1500zł;Ani dobrze, ani źle;Ani dobrze, ani źle
Wynajmuję lokal z dwiema osobami;Wynajmowałem/am lokal z jedną osobą;od 1000zł do 1500zł;od 1000zł do 1500zł;Dobrze;Bardzo dobrze
Wynajmuję lokal sam;Wynajmowałem/am lokal sam;2500zł lub więcej;2500zł lub więcej;Bardzo dobrze;Bardzo dobrze
Wynajmuję lokal sam;Wynajmowałem/am lokal sam;2500zł lub więcej;2500zł lub więcej;Bardzo dobrze;Bardzo dobrze
Wynajmuję lokal z jedną osobą;Wynajmowałem/am lokal z jedną osobą;od 1000zł do 1500zł;od 1500zł do 2000zł;Bardzo dobrze;Dobrze
Wynajmuję lokal sam;Wynajmowałem/am lokal z jedną osobą;od 2000 do 2500zł;od 1000zł do 1500zł;Bardzo dobrze;Ani dobrze, ani źle
Wynajmuję lokal z jedną osobą;Wynajmowałem/am lokal sam;od 2000 do 2500zł;od 1000zł do 1500zł;Źle;Bardzo dobrze
Mieszkam w akademiku;Mieszkałem/am w akademiku;od 0 do 500zł;od 0 do 500zł;Źle;Źle
Wynajmuję lokal z dwiema osobami;Wynajmowałem/am lokal z trzema osobami;od 1000zł do 1500zł;od 500zł do 1000zł;Dobrze;Źle
Wynajmuję lokal z jedną osobą;Wynajmowałem/am lokal z jedną osobą;od 1000zł do 1500zł;od 500zł do 1000zł;Dobrze;Dobrze
